SN IPMI-IP MGMT-IP
210235A52BH255000037 192.168.0.2 10.0.0.2
210235A52BH255000122 192.168.0.1 10.0.0.1
210235A52BH255000029 192.168.0.3 10.0.0.3
210235A52BH255000084 192.168.0.4 10.0.0.4
210235A52BH255000040 192.168.0.5 10.0.0.5
210235A52BH255000126 192.168.0.6 10.0.0.6
210235A52BH255000021 192.168.0.7 10.0.0.7
210235A52BH255000049 192.168.0.8 10.0.0.8
210235A52BH255000119 192.168.0.9 10.0.0.9
210235A52BH255000111 192.168.0.10 10.0.0.10
210235A52BH255000080 192.168.0.11 10.0.0.11
210235A52BH255000120 192.168.0.12 10.0.0.12
210235A52BH255000033 192.168.0.13 10.0.0.13
210235A52BH255000110 192.168.0.14 10.0.0.14
210235A52BH255000055 192.168.0.15 10.0.0.15
210235A52BH255000023 192.168.0.16 10.0.0.16
210235A52BH255000118 192.168.0.17 10.0.0.17
210235A52BH255000096 192.168.0.18 10.0.0.18
210235A52BH255000042 192.168.0.19 10.0.0.19
210235A52BH255000127 192.168.0.20 10.0.0.20
210235A52BH255000019 192.168.0.21 10.0.0.21
210235A52BH255000075 192.168.0.22 10.0.0.22
210235A52BH255000009 192.168.0.23 10.0.0.23
210235A52BH255000020 192.168.0.24 10.0.0.24
210235A52BH255000116 192.168.0.25 10.0.0.25
210235A52BH255000064 192.168.0.26 10.0.0.26
210235A52BH255000130 192.168.0.27 10.0.0.27
210235A52BH255000034 192.168.0.28 10.0.0.28
210235A52BH255000103 192.168.0.29 10.0.0.29
210235A52BH255000085 192.168.0.30 10.0.0.30
210235A52BH255000092 192.168.0.31 10.0.0.31
210235A52BH255000058 192.168.0.32 10.0.0.32
210235A52BH255000017 192.168.0.33 10.0.0.33
210235A52BH255000081 192.168.0.34 10.0.0.34
210235A52BH255000129 192.168.0.35 10.0.0.35
210235A52BH255000048 192.168.0.36 10.0.0.36
210235A52BH255000132 192.168.0.37 10.0.0.37
210235A52BH255000108 192.168.0.38 10.0.0.38
210235A52BH255000121 192.168.0.39 10.0.0.39
210235A52BH255000003 192.168.0.40 10.0.0.40
210235A52BH255000063 192.168.0.41 10.0.0.41
210235A52BH255000030 192.168.0.42 10.0.0.42
210235A52BH255000105 192.168.0.43 10.0.0.43
210235A52BH255000039 192.168.0.44 10.0.0.44
210235A52BH255000104 192.168.0.45 10.0.0.45
210235A52BH255000131 192.168.0.46 10.0.0.46
210235A52BH255000022 192.168.0.47 10.0.0.47
210235A52BH255000028 192.168.0.48 10.0.0.48
210235A52BH255000113 192.168.0.49 10.0.0.49
210235A52BH255000025 192.168.0.50 10.0.0.50
210235A52BH255000024 192.168.0.51 10.0.0.51
210235A52BH255000128 192.168.0.52 10.0.0.52
210235A52BH255000099 192.168.0.53 10.0.0.53
210235A52BH255000109 192.168.0.54 10.0.0.54
210235A52BH255000117 192.168.0.55 10.0.0.55
210235A52BH255000043 192.168.0.56 10.0.0.56
210235A52BH255000100 192.168.0.57 10.0.0.57
210235A52BH255000041 192.168.0.58 10.0.0.58
210235A52BH255000106 192.168.0.59 10.0.0.59
210235A52BH255000065 192.168.0.60 10.0.0.60
210235A52BH255000083 192.168.0.61 10.0.0.61
210235A52BH255000053 192.168.0.62 10.0.0.62
210235A52BH255000045 192.168.0.63 10.0.0.63
210235A52BH255000054 192.168.0.64 10.0.0.64
210235A52BH255000107 192.168.0.65 10.0.0.65
210235A52BH255000046 192.168.0.66 10.0.0.66
210235A52BH255000123 192.168.0.67 10.0.0.67
210235A52BH255000094 192.168.0.68 10.0.0.68
210235A52BH255000090 192.168.0.69 10.0.0.69
210235A52BH255000070 192.168.0.70 10.0.0.70
210235A52BH255000015 192.168.0.71 10.0.0.71
210235A52BH255000013 192.168.0.72 10.0.0.72
210235A52BH255000002 192.168.0.73 10.0.0.73
210235A52BH255000067 192.168.0.74 10.0.0.74
210235A52BH255000018 192.168.0.75 10.0.0.75
210235A52BH255000125 192.168.0.76 10.0.0.76
210235A52BH255000044 192.168.0.77 10.0.0.77
210235A52BH255000035 192.168.0.78 10.0.0.78
210235A52BH255000026 192.168.0.79 10.0.0.79
210235A52BH255000124 192.168.0.80 10.0.0.80
210235A52BH255000112 192.168.0.81 10.0.0.81
210235A52BH255000051 192.168.0.82 10.0.0.82
210235A52BH255000052 192.168.0.83 10.0.0.83
210235A52BH255000097 192.168.0.84 10.0.0.84
210235A52BH255000007 192.168.0.85 10.0.0.85
210235A52BH255000082 192.168.0.86 10.0.0.86
210235A52BH255000089 192.168.0.87 10.0.0.87
210235A52BH255000038 192.168.0.88 10.0.0.88
210235A52BH255000066 192.168.0.89 10.0.0.89
210235A52BH255000050 192.168.0.90 10.0.0.90
210235A52BH255000057 192.168.0.91 10.0.0.91
210235A52BH255000047 192.168.0.92 10.0.0.92
210235A52BH255000069 192.168.0.93 10.0.0.93
210235A52BH255000115 192.168.0.94 10.0.0.94
210235A52BH255000095 192.168.0.95 10.0.0.95
210235A52BH255000005 192.168.0.96 10.0.0.96
210235A52BH255000088 192.168.0.97 10.0.0.97
210235A52BH255000031 192.168.0.98 10.0.0.98
210235A52BH255000091 192.168.0.99 10.0.0.99
210235A52BH255000010 192.168.0.100 10.0.0.100
210235A52BH255000011 192.168.0.101 10.0.0.101
210235A52BH255000072 192.168.0.102 10.0.0.102
210235A52BH255000078 192.168.0.103 10.0.0.103
210235A52BH255000061 192.168.0.104 10.0.0.104
210235A52BH255000032 192.168.0.105 10.0.0.105
210235A52BH255000008 192.168.0.106 10.0.0.106
210235A52BH255000036 192.168.0.107 10.0.0.107
210235A52BH255000004 192.168.0.108 10.0.0.108
210235A52BH255000114 192.168.0.109 10.0.0.109
210235A52BH255000006 192.168.0.110 10.0.0.110
210235A52BH255000027 192.168.0.111 10.0.0.111
210235A52BH255000060 192.168.0.112 10.0.0.112
210235A52BH255000098 192.168.0.113 10.0.0.113
210235A52BH255000068 192.168.0.114 10.0.0.114
210235A52BH255000071 192.168.0.115 10.0.0.115
210235A52BH255000076 192.168.0.116 10.0.0.116
210235A52BH255000074 192.168.0.117 10.0.0.117
210235A52BH255000086 192.168.0.118 10.0.0.118
210235A52BH255000012 192.168.0.119 10.0.0.119
210235A52BH255000062 192.168.0.120 10.0.0.120
210235A52BH255000077 192.168.0.121 10.0.0.121
210235A52BH255000059 192.168.0.122 10.0.0.122
210235A52BH255000001 192.168.0.123 10.0.0.123
210235A52BH255000079 192.168.0.124 10.0.0.124
210235A52BH255000014 192.168.0.125 10.0.0.125
210235A52BH255000016 192.168.0.126 10.0.0.126
210235A52BH255000056 192.168.0.127 10.0.0.127
210235A52BH255000073 192.168.0.128 10.0.0.128
